,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Sentiment_Scores,Predicted_lables
47,Made a UV light sanitizer box with timer remote for our #VR headsets. Donated it to a local hospital to clean their #facemasks and #PPE #pandemic #Covid_19 https://t.co/ShqfPbUE9c,"[('made', 'VBN'), ('light', 'JJ'), ('sanit', 'NNS'), ('timer', 'VBP'), ('remot', 'NN'), ('headset', 'NN'), ('donat', 'NN'), ('local', 'JJ'), ('hospit', 'NN'), ('clean', 'JJ'), ('facemask', 'NN'), ('pandem', 'NN'), ('covid', 'NN'), ('http', 'NN'), ('shqfpbue', 'NN')]",make light sanit timer remot headset donat local hospit clean facemask pandem covid http shqfpbue,"{'polarity': 0.2555555555555556, 'subjectivity': 0.4666666666666666}",Positive
48,\xf0\x9f\x98\xa2,[],,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
49,IS SHE DUMB OR IS SHE DUMB??? https://t.co/BmkYOEeELP,"[('dumb', 'JJ'), ('dumb', 'JJ'), ('http', 'NN'), ('bmkyoeeelp', 'NN')]",dumb dumb http bmkyoeeelp,"{'polarity': -0.375, 'subjectivity': 0.5}",Negative
50,*Por fin se muda a California*  *Hay una pandemia*   https://t.co/cnZKRLujrB,"[('muda', 'NN'), ('california', 'NN'), ('pandemia', 'NN'), ('http', 'NN'), ('cnzkrlujrb', 'NN')]",muda california pandemia http cnzkrlujrb,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
51,The Four Men Responsible For America's #COVID19 Test Disaster  https://t.co/vdNRW3iKZT,"[('four', 'CD'), ('respons', 'NNS'), ('america', 'RB'), ('covid', 'VBP'), ('test', 'NN'), ('disast', 'NN'), ('http', 'NN'), ('vdnrw', 'NN'), ('ikzt', 'NN')]",four respons america covid test disast http vdnrw ikzt,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
52,Fuck that bitch COVID,"[('fuck', 'JJ'), ('bitch', 'NN'), ('covid', 'NN')]",fuck bitch covid,"{'polarity': -0.4, 'subjectivity': 0.6}",Negative
53,\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc Quarantined during lent has me focused af. Praying for a miracle. Blessings in the way thank you. Le\xe2\x80\xa6 https://t.co/KXtCAby5Mo,"[('quarantin', 'JJ'), ('lent', 'JJ'), ('focus', 'NN'), ('pray', 'NN'), ('miracl', 'NN'), ('bless', 'NN'), ('thank', 'NN'), ('http', 'NN'), ('kxtcabi', 'NN')]",quarantin lent focus pray miracl bless thank http kxtcabi,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
54,#coronavirus or #MurderHornets ?  \xf0\x9f\x98\xb7\xf0\x9f\x90\x9d https://t.co/PSOqs8NmVt,"[('coronaviru', 'JJ'), ('murderhornet', 'NN'), ('http', 'NN'), ('psoq', 'NN'), ('nmvt', 'NN')]",coronaviru murderhornet http psoq nmvt,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
55,\xf0\x9f\x8d\x86\xf0\x9f\x98\x8d\xf0\x9f\x92\xa6,[],,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
56,@kylegriffin1 @PhilipRucker Hey Phil go inject some disinfectant or get some light inside your body so COVID19 forwent get you! And he calls you fake news\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xaf https://t.co/u4oEfrH7pa,"[('kylegriffin', 'NN'), ('philipruck', 'NN'), ('phil', 'NN'), ('inject', 'JJ'), ('disinfect', 'NN'), ('light', 'JJ'), ('insid', 'NN'), ('bodi', 'NN'), ('covid', 'JJ'), ('forwent', 'NN'), ('call', 'NN'), ('fake', 'VBP'), ('news', 'NN'), ('http', 'NN'), ('oefrh', 'NN')]",kylegriffin philipruck phil inject disinfect light insid bodi covid forwent call fake news http oefrh,"{'polarity': -0.04999999999999999, 'subjectivity': 0.85}",Negative
57,Despicable how an American diplomat deliberately goes out of his way to call it \xe2\x80\x9cChinese coronavirus\xe2\x80\x9d when the WHO renamed it COVID-19 to avoid xenophobia that is on the rise worldwide smh,"[('despic', 'JJ'), ('american', 'JJ'), ('diplomat', 'NN'), ('deliber', 'VB'), ('goe', 'JJ'), ('call', 'NN'), ('cchines', 'NNS'), ('coronaviru', 'VBP'), ('renam', 'NN'), ('covid', 'NN'), ('avoid', 'NN'), ('xenophobia', 'NNP'), ('rise', 'NN'), ('worldwid', 'NN')]",despic american diplomat deliber goe call cchines coronaviru renam covid avoid xenophobia rise worldwid,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
58,This is very sweet.,"[('thi', 'NN'), ('sweet', 'NN')]",thi sweet,"{'polarity': 0.35, 'subjectivity': 0.65}",Positive
59,Sadly,"[('sadli', 'NN')]",sadli,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
60,Wow... !,[],,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
61,Worrying about illegal moves by Trump seems a bit futile at the moment! We know what he is and where he is. That\xe2\x80\x99s all that is needed. November is coming!,"[('worri', 'NN'), ('illeg', 'NN'), ('move', 'NN'), ('trump', 'NN'), ('seem', 'VBP'), ('futil', 'JJ'), ('moment', 'NN'), ('know', 'VBP'), ('that', 'IN'), ('need', 'VBP'), ('novemb', 'DT'), ('come', 'VB')]",worri illeg move trump seem futil moment know need novemb come,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
